Region,code,authority,2015,2016,2017,2018,2019,2020,2021
East of England,E07000241,Welwyn Hatfield,19.1,13.7,14.5,12.1,14.1,11.8,12.5
East of England,E07000242,East Hertfordshire,16.1,15.2,9.5,9.9,10.8,8.9,9.7
East of England,E07000243,Stevenage,21.6,24.4,14.9,15.7,10.3,7.4,15.3
East of England,E07000244,East Suffolk,16,16.1,13.6,15.1,17.4,13.4,12.1
East of England,E07000245,West Suffolk,16.9,14.1,16.3,11.7,16,15.4,10.6
London,E09000001,City of London,[x],[x],[x],[x],[x],[x],18.3
London,E09000002,Barking and Dagenham,18.4,18.8,18.7,22.4,18.1,16.5,11.3
London,E09000003,Barnet,14.6,14.8,17.3,10.9,11.1,9.1,10.5
London,E09000004,Bexley,14.2,12.5,11.7,12.2,14.2,14,12.8
London,E09000005,Brent,12.2,12.8,15.8,17.1,10.3,11.1,8.2
London,E09000006,Bromley,14.2,13.8,13.8,13.9,9.4,11.4,8.9
London,E09000007,Camden,15.9,11.4,16.4,10.9,12,9.2,6.6
London,E09000008,Croydon,18,13.2,12,11.4,12.4,10.1,12.9
London,E09000009,Ealing,15.1,15.4,11,9.2,10,11.3,10.3
London,E09000010,Enfield,16.8,13.1,14.9,13.7,15.8,13.3,18.5
London,E09000011,Greenwich,14.2,17.4,16.9,18.1,12.8,14.7,11.5
London,E09000012,Hackney,20.5,19.6,21.4,14.8,14.4,11.9,14.2
London,E09000013,Hammersmith and Fulham,18.6,19.6,13.6,12.1,10.3,12.5,10.8
London,E09000014,Haringey,22,17.7,15.6,17.7,14.9,14.6,9.5
London,E09000015,Harrow,13.2,7.4,9,10.8,10.4,8.6,7.6
London,E09000016,Havering,17.3,14.9,13.5,15,13.2,12,10.3
London,E09000017,Hillingdon,16.8,15.2,11.6,17.1,11.8,11.1,11.1
London,E09000018,Hounslow,14.1,13.8,12.6,13.9,14.2,13.1,11.6
London,E09000019,Islington,17.6,13.4,20.1,15.6,12.4,20.3,11.5
London,E09000020,Kensington and Chelsea,18.8,18,13.2,14.9,14.9,11.9,14.4
London,E09000021,Kingston upon Thames,16.2,13.8,15.5,11.2,9.2,9.3,10.5
London,E09000022,Lambeth,21.2,17.3,14.6,12.4,13.4,13.1,12.4
London,E09000023,Lewisham,16.7,21.2,15.5,16.7,14.5,11.4,12.2
London,E09000024,Merton,14.6,12.7,11.5,10.9,13.5,12.6,12.8
London,E09000025,Newham,20,22.3,19.1,18.2,13.8,15.9,13.9
London,E09000026,Redbridge,11.5,10.4,12.1,13.2,13.4,12.9,11.8
London,E09000027,Richmond upon Thames,11.8,12.1,9.8,5.9,8,6.2,8.2
London,E09000028,Southwark,15.9,15.3,12.2,14.5,15.6,16.3,12
London,E09000029,Sutton,14.4,12.8,12.8,14.1,15.8,11.8,12.1
London,E09000030,Tower Hamlets,19.9,18,19.7,20.3,15.1,14.5,12
London,E09000031,Waltham Forest,17.7,19.7,16.4,11.7,16.2,14,9
London,E09000032,Wandsworth,13.7,14.6,13.2,12.2,13.5,10.3,13.3
London,E09000033,Westminster,15.1,12.9,14.1,11.5,10.5,16.9,11.8
South East,E06000035,Medway,22.3,19,17.6,14.7,14.1,14.7,14.5
South East,E06000036,Bracknell Forest,16.7,16.1,13.3,10.9,11.9,11.3,10.8
South East,E06000037,West Berkshire,14.1,12.8,13.1,10.1,10.3,11.2,13.4
South East,E06000038,Reading,17.6,15.8,13.6,13,13.9,13.9,15.8
South East,E06000039,Slough,18.2,18,16.6,21.3,16.2,16.3,14.9
South East,E06000040,Windsor and Maidenhead,13,12.2,11.2,8.4,9.8,11.4,11.9
South East,E06000041,Wokingham,9.5,8.8,8.1,8.2,8.4,7.5,6.7
