code,value
N20001555,0.61
N20001556,0.65
N20001557,0.64
N20001558,0.66
N20001559,0.63
N20001560,0.62
N20001561,0.65
N20001562,0.59
N20001563,0.68
N20001564,0.66
N20001565,0.65
N20001566,0.63
N20001567,0.63
N20001568,0.44
N20001569,0.68
N20001570,0.47
N20001571,0.52
N20001572,0.59
N20001573,0.44
N20001574,0.37
N20001575,0.40
N20001576,0.42
N20001577,0.60
N20001578,0.56
N20001579,0.42
N20001580,0.57
N20001581,0.54
N20001582,0.59
N20001583,0.78
N20001584,0.67
N20001585,0.64
N20001586,0.58
N20001587,0.61
N20001588,0.60
N20001589,0.72
N20001590,0.69
N20001591,0.65
N20001592,0.59
N20001593,0.69
N20001594,0.73
N20001595,0.83
N20001596,0.72
N20001597,0.91
N20001598,0.92
N20001599,0.54
N20001600,0.86
N20001601,0.87
N20001602,0.87
N20001603,0.55
N20001604,0.63
N20001605,0.93
N20001606,0.90
N20001607,0.59
N20001608,0.52
N20001609,0.65
N20001610,0.63
N20001611,0.66
N20001612,0.43
N20001613,0.72
N20001614,0.67
N20001615,0.51
N20001616,0.53
N20001617,0.89
N20001618,0.63
N20001619,0.86
N20001620,0.56
N20001621,0.51
N20001622,0.59
N20001623,0.59
N20001624,0.59
N20001625,0.54
N20001626,0.54
N20001627,0.78
N20001628,0.48
N20001629,0.58
N20001630,0.43
N20001631,0.56
N20001632,0.58
N20001633,0.38
N20001634,0.74
N20001635,0.44
N20001636,0.84
N20001637,0.56
N20001638,0.46
N20001639,0.88
N20001640,0.85
N20001641,0.85
N20001642,0.89
N20001643,0.84
N20001644,0.85
N20001645,0.80
N20001646,0.87
N20001647,0.83
N20001648,0.84
N20001649,0.82
N20001650,0.84
N20001651,0.20
N20001652,0.44
N20001653,0.17
N20001654,0.19
N20001655,0.18
N20001656,0.13
N20001657,0.23
N20001658,0.73
N20001659,0.27
N20001660,0.17
N20001661,0.16
N20001662,0.19
N20001663,0.15
N20001664,0.27
N20001665,0.08
N20001666,0.64
N20001667,0.07
N20001668,0.18
N20001669,0.79
N20001670,0.63
N20001671,0.60
N20001672,0.88
N20001673,0.06
N20001674,0.75
N20001675,0.04
N20001676,0.33
N20001677,0.04
N20001678,0.09
N20001679,0.02
N20001680,0.05
N20001681,0.04
N20001682,0.04
N20001683,0.10
N20001684,0.04
N20001685,0.78
N20001686,0.79
N20001687,0.69
N20001688,0.75
N20001689,0.74
N20001690,0.71
N20001691,0.73
N20001692,0.74
N20001693,0.78
N20001694,0.60
N20001695,0.73
N20001696,0.77
N20001697,0.73
N20001698,0.65
N20001699,0.77
N20001700,0.71
N20001701,0.66
N20001702,0.66
N20001703,0.26
N20001704,0.81
N20001705,0.81
N20001706,0.75
N20001707,0.81
N20001708,0.72
N20001709,0.70
N20001710,0.73
N20001711,0.79
N20001712,0.82
N20001713,0.73
N20001714,0.79
N20001715,0.43
N20001716,0.50
N20001717,0.80
N20001718,0.05
N20001719,0.02
N20001720,0.73
N20001721,0.56
N20001722,0.46
N20001723,0.64
N20001724,0.03
N20001725,0.28
N20001726,0.62
N20001727,0.39
N20001728,0.09
N20001729,0.17
N20001730,0.67
N20001731,0.40
N20001732,0.02
N20001733,0.02
N20001734,0.03
N20001735,0.06
N20001736,0.02
N20001737,0.04
N20001738,0.02
N20001739,0.02
N20001740,0.03
N20001741,0.07
N20001742,0.01
N20001743,0.09
N20001744,0.08
N20001745,0.03
N20001746,0.02
N20001747,0.04
N20001748,0.05
N20001749,0.03
N20001750,0.08
N20001751,0.02
N20001752,0.02
N20001753,0.01
N20001754,0.81
N20001755,0.02
N20001756,0.10
N20001757,0.03
N20001758,0.03
N20001759,0.02
N20001760,0.02
N20001761,0.04
N20001762,0.02
N20001763,0.02
N20001764,0.04
N20001765,0.02
N20001766,0.02
N20001767,0.21
N20001768,0.15
N20001769,0.03
N20001770,0.02
N20001771,0.08
N20001772,0.04
N20001773,0.02
N20001774,0.02
N20001775,0.07
N20001776,0.03
N20001777,0.04
N20001778,0.02
N20001779,0.02
N20001780,0.02
N20001781,0.04
N20001782,0.01
N20001783,0.02
N20001784,0.07
N20001785,0.01
N20001786,0.02
N20001787,0.10
N20001788,0.02
N20001789,0.08
N20001790,0.17
N20001791,0.09
N20001792,0.03
N20001793,0.08
N20001794,0.12
N20001795,0.08
N20001796,0.03
N20001797,0.13
N20001798,0.05
N20001799,0.04
N20001800,0.08
N20001801,0.06
N20001802,0.07
N20001803,0.08
N20001804,0.05
N20001805,0.06
N20001806,0.03
N20001807,0.06
N20001808,0.03
N20001809,0.04
N20001810,0.01
N20001811,0.05
N20001812,0.10
N20001813,0.06
N20001814,0.01
N20001815,0.03
N20001816,0.03
N20001817,0.06
N20001818,0.04
N20001819,0.03
N20001820,0.03
N20001821,0.01
N20001822,0.02
N20001823,0.06
N20001824,0.02
N20001825,0.05
N20001826,0.07
N20001827,0.04
N20001828,0.05
N20001829,0.02
N20001830,0.01
N20001831,0.03
N20001832,0.08
N20001833,0.07
N20001834,0.04
N20001835,0.01
N20001836,0.02
N20001837,0.01
N20001838,0.03
N20001839,0.01
N20001840,0.06
N20001841,0.03
N20001842,0.00
N20001843,0.04
N20001844,0.02
N20001845,0.02
N20001846,0.01
N20001847,0.03
N20001848,0.02
N20001849,0.04
N20001850,0.34
N20001851,0.25
N20001852,0.61
N20001853,0.77
N20001854,0.42
N20001855,0.46
N20001856,0.85
N20001857,0.77
N20001858,0.19
N20001859,0.40
N20001860,0.36
N20001861,0.20
N20001862,0.70
N20001863,0.48
N20001864,0.64
N20001865,0.65
N20001866,0.72
N20001867,0.45
N20001868,0.73
N20001869,0.81
N20001870,0.31
N20001871,0.52
N20001872,0.25
N20001873,0.65
N20001874,0.19
N20001875,0.59
N20001876,0.81
N20001877,0.21
N20001878,0.39
N20001879,0.64
N20001880,0.71
N20001881,0.08
N20001882,0.27
N20001883,0.10
N20001884,0.25
N20001885,0.42
N20001886,0.39
N20001887,0.05
N20001888,0.34
N20001889,0.06
N20001890,0.03
N20001891,0.27
N20001892,0.06
N20001893,0.81
N20001894,0.70
N20001895,0.18
N20001896,0.07
N20001897,0.71
N20001898,0.71
N20001899,0.92
N20001900,0.16
N20001901,0.06
N20001902,0.62
N20001903,0.45
N20001904,0.07
N20001905,0.90
N20001906,0.02
N20001907,0.48
N20001908,0.44
N20001909,0.07
N20001910,0.16
N20001911,0.10
N20001912,0.10
N20001913,0.10
N20001914,0.35
N20001915,0.37
N20001916,0.35
N20001917,0.45
N20001918,0.44
N20001919,0.31
N20001920,0.35
N20001921,0.32
N20001922,0.65
N20001923,0.19
N20001924,0.03
N20001925,0.06
N20001926,0.15
N20001927,0.25
N20001928,0.32
N20001929,0.48
N20001930,0.83
N20001931,0.86
N20001932,0.93
N20001933,0.90
N20001934,0.80
N20001935,0.49
N20001936,0.42
N20001937,0.36
N20001938,0.16
N20001939,0.81
N20001940,0.87
N20001941,0.92
N20001942,0.11
N20001943,0.19
N20001944,0.23
N20001945,0.63
N20001946,0.37
N20001947,0.73
N20001948,0.79
N20001949,0.33
N20001950,0.71
N20001951,0.51
N20001952,0.81
N20001953,0.03
N20001954,0.33
N20001955,0.85
N20001956,0.10
N20001957,0.52
N20001958,0.68
N20001959,0.36
N20001960,0.14
N20001961,0.38
N20001962,0.11
N20001963,0.14
N20001964,0.04
N20001965,0.09
N20001966,0.08
N20001967,0.03
N20001968,0.11
N20001969,0.05
N20001970,0.03
N20001971,0.24
N20001972,0.05
N20001973,0.05
N20001974,0.06
N20001975,0.02
N20001976,0.03
N20001977,0.06
N20001978,0.03
N20001979,0.03
N20001980,0.10
N20001981,0.01
N20001982,0.04
N20001983,0.02
N20001984,0.03
N20001985,0.04
N20001986,0.03
N20001987,0.06
N20001988,0.28
N20001989,0.23
N20001990,0.33
N20001991,0.31
N20001992,0.29
N20001993,0.17
N20001994,0.05
N20001995,0.08
N20001996,0.03
N20001997,0.04
N20001998,0.12
N20001999,0.02
N20002000,0.37
N20002001,0.28
N20002002,0.28
N20002003,0.03
N20002004,0.20
N20002005,0.18
N20002006,0.31
N20002007,0.59
N20002008,0.68
N20002009,0.30
N20002010,0.58
N20002011,0.38
N20002012,0.08
N20002013,0.45
N20002014,0.11
N20002015,0.73
N20002016,0.38
N20002017,0.55
N20002018,0.15
N20002019,0.40
N20002020,0.53
N20002021,0.58
N20002022,0.80
N20002023,0.14
N20002024,0.83
N20002025,0.68
N20002026,0.14
N20002027,0.71
N20002028,0.74
N20002029,0.58
N20002030,0.73
N20002031,0.44
N20002032,0.64
N20002033,0.68
N20002034,0.48
N20002035,0.46
N20002036,0.47
N20002037,0.17
N20002038,0.03
N20002039,0.53
N20002040,0.17
N20002041,0.44
N20002042,0.13
N20002043,0.17
N20002044,0.28
N20002045,0.17
N20002046,0.25
N20002047,0.24
N20002048,0.08
N20002049,0.09
N20002050,0.34
N20002051,0.23
N20002052,0.42
N20002053,0.16
N20002054,0.08
N20002055,0.24
N20002056,0.21
N20002057,0.41
N20002058,0.14
N20002059,0.09
N20002060,0.14
N20002061,0.47
N20002062,0.23
N20002063,0.22
N20002064,0.26
N20002065,0.61
N20002066,0.07
N20002067,0.27
N20002068,0.45
N20002069,0.30
N20002070,0.38
N20002071,0.40
N20002072,0.40
N20002073,0.49
N20002074,0.08
N20002075,0.20
N20002076,0.14
N20002077,0.07
N20002078,0.20
N20002079,0.06
N20002080,0.34
N20002081,0.53
N20002082,0.80
N20002083,0.71
N20002084,0.59
N20002085,0.33
N20002086,0.13
N20002087,0.36
N20002088,0.25
N20002089,0.19
N20002090,0.36
N20002091,0.16
N20002092,0.31
N20002093,0.39
N20002094,0.24
N20002095,0.06
N20002096,0.19
N20002097,0.44
N20002098,0.20
N20002099,0.31
N20002100,0.42
N20002101,0.21
N20002102,0.32
N20002103,0.22
N20002104,0.28
N20002105,0.35
N20002106,0.34
N20002107,0.30
N20002108,0.50
N20002109,0.53
N20002110,0.58
N20002111,0.41
N20002112,0.29
N20002113,0.40
N20002114,0.25
N20002115,0.15
N20002116,0.29
N20002117,0.82
N20002118,0.79
N20002119,0.81
N20002120,0.60
N20002121,0.53
N20002122,0.56
N20002123,0.72
N20002124,0.15
N20002125,0.37
N20002126,0.66
N20002127,0.70
N20002128,0.06
N20002129,0.35
N20002130,0.69
N20002131,0.07
N20002132,0.18
N20002133,0.23
N20002134,0.16
N20002135,0.32
N20002136,0.26
N20002137,0.11
N20002138,0.16
N20002139,0.61
N20002140,0.86
N20002141,0.82
N20002142,0.42
N20002143,0.82
N20002144,0.21
N20002145,0.56
N20002146,0.26
N20002147,0.67
N20002148,0.53
N20002149,0.27
N20002150,0.74
N20002151,0.44
N20002152,0.35
N20002153,0.65
N20002154,0.19
N20002155,0.35
N20002156,0.32
N20002157,0.19
N20002158,0.51
N20002159,0.10
N20002160,0.18
N20002161,0.33
N20002162,0.16
N20002163,0.18
N20002164,0.39
N20002165,0.50
N20002166,0.13
N20002167,0.08
N20002168,0.41
N20002169,0.24
N20002170,0.15
N20002171,0.25
N20002172,0.23
N20002173,0.21
N20002174,0.30
N20002175,0.25
N20002176,0.26
N20002177,0.24
N20002178,0.13
N20002179,0.14
N20002180,0.50
N20002181,0.42
N20002182,0.18
N20002183,0.06
N20002184,0.21
N20002185,0.12
N20002186,0.26
N20002187,0.06
N20002188,0.09
N20002189,0.32
N20002190,0.08
N20002191,0.08
N20002192,0.31
N20002193,0.14
N20002194,0.07
N20002195,0.25
N20002196,0.34
N20002197,0.61
N20002198,0.09
N20002199,0.22
N20002200,0.76
N20002201,0.66
N20002202,0.05
N20002203,0.03
N20002204,0.03
N20002205,0.09
N20002206,0.66
N20002207,0.42
N20002208,0.24
N20002209,0.61
N20002210,0.04
N20002211,0.30
N20002212,0.13
N20002213,0.16
N20002214,0.05
N20002215,0.10
N20002216,0.18
N20002217,0.80
N20002218,0.27
N20002219,0.11
N20002220,0.27
N20002221,0.24
N20002222,0.49
N20002223,0.06
N20002224,0.01
N20002225,0.10
N20002226,0.42
N20002227,0.61
N20002228,0.03
N20002229,0.06
N20002230,0.27
N20002231,0.04
N20002232,0.37
N20002233,0.21
N20002234,0.23
N20002235,0.09
N20002236,0.18
N20002237,0.04
N20002238,0.07
N20002239,0.11
N20002240,0.03
N20002241,0.07
N20002242,0.26
N20002243,0.24
N20002244,0.32
N20002245,0.42
N20002246,0.65
N20002247,0.31
N20002248,0.06
N20002249,0.49
N20002250,0.33
N20002251,0.06
N20002252,0.60
N20002253,0.65
N20002254,0.68
N20002255,0.58
N20002256,0.66
N20002257,0.47
N20002258,0.74
N20002259,0.82
N20002260,0.75
N20002261,0.76
N20002262,0.72
N20002263,0.62
N20002264,0.72
N20002265,0.72
N20002266,0.65
N20002267,0.66
N20002268,0.70
N20002269,0.70
N20002270,0.59
N20002271,0.61
N20002272,0.57
N20002273,0.64
N20002274,0.76
N20002275,0.63
N20002276,0.63
N20002277,0.77
N20002278,0.82
N20002279,0.69
N20002280,0.78
N20002281,0.76
N20002282,0.71
N20002283,0.70
N20002284,0.81
N20002285,0.80
N20002286,0.83
N20002287,0.47
N20002288,0.06
N20002289,0.35
N20002290,0.09
N20002291,0.14
N20002292,0.05
N20002293,0.25
N20002294,0.58
N20002295,0.28
N20002296,0.50
N20002297,0.49
N20002298,0.67
N20002299,0.54
N20002300,0.59
N20002301,0.78
N20002302,0.75
N20002303,0.59
N20002304,0.71
N20002305,0.34
N20002306,0.31
N20002307,0.41
N20002308,0.29
N20002309,0.39
N20002310,0.45
N20002311,0.77
N20002312,0.43
N20002313,0.75
N20002314,0.69
N20002315,0.70
N20002316,0.76
N20002317,0.73
N20002318,0.51
N20002319,0.68
N20002320,0.69
N20002321,0.73
N20002322,0.78
N20002323,0.72
N20002324,0.83
N20002325,0.79
N20002326,0.64
N20002327,0.78
N20002328,0.75
N20002329,0.74
N20002330,0.67
N20002331,0.28
N20002332,0.73
N20002333,0.69
N20002334,0.72
N20002335,0.54
N20002336,0.66
N20002337,0.79
N20002338,0.62
N20002339,0.74
N20002340,0.73
N20002341,0.67
N20002342,0.52
N20002343,0.65
N20002344,0.59
N20002345,0.68
N20002346,0.57
N20002347,0.68
N20002348,0.58
N20002349,0.53
N20002350,0.58
N20002351,0.41
N20002352,0.68
N20002353,0.54
N20002354,0.53
N20002355,0.38
N20002356,0.39
N20002357,0.41
N20002358,0.47
N20002359,0.41
N20002360,0.54
N20002361,0.30
N20002362,0.51
N20002363,0.54
N20002364,0.40
N20002365,0.57
N20002366,0.60
N20002367,0.45
N20002368,0.62
N20002369,0.63
N20002370,0.66
N20002371,0.63
N20002372,0.62
N20002373,0.55
N20002374,0.68
N20002375,0.60
N20002376,0.60
N20002377,0.23
N20002378,0.32
N20002379,0.75
N20002380,0.72
N20002381,0.43
N20002382,0.71
N20002383,0.47
N20002384,0.60
N20002385,0.20
N20002386,0.70
N20002387,0.44
N20002388,0.70
N20002389,0.25
N20002390,0.44
N20002391,0.41
N20002392,0.29
N20002393,0.55
N20002394,0.66
N20002395,0.21
N20002396,0.56
N20002397,0.53
N20002398,0.39
N20002399,0.50
N20002400,0.61
N20002401,0.59
N20002402,0.48
N20002403,0.63
N20002404,0.47
N20002405,0.51
N20002406,0.50
N20002407,0.67
N20002408,0.62
N20002409,0.64
N20002410,0.63
N20002411,0.53
N20002412,0.49
N20002413,0.61
N20002414,0.55
N20002415,0.63
N20002416,0.66
N20002417,0.72
N20002418,0.54
N20002419,0.51
N20002420,0.59
N20002421,0.53
N20002422,0.58
N20002423,0.55
N20002424,0.57
N20002425,0.66
N20002426,0.67
N20002427,0.65
N20002428,0.74
N20002429,0.63
N20002430,0.57
N20002431,0.66
N20002432,0.64
N20002433,0.69
N20002434,0.81
N20002435,0.65
N20002436,0.72
N20002437,0.65
N20002438,0.81
N20002439,0.73
N20002440,0.84
N20002441,0.76
N20002442,0.76
N20002443,0.79
N20002444,0.80
N20002445,0.75
N20002446,0.85
N20002447,0.81
N20002448,0.73
N20002449,0.86
N20002450,0.75
N20002451,0.87
N20002452,0.76
N20002453,0.71
N20002454,0.66
N20002455,0.62
N20002456,0.31
N20002457,0.35
N20002458,0.34
N20002459,0.41
N20002460,0.34
N20002461,0.40
N20002462,0.55
N20002463,0.32
N20002464,0.41
N20002465,0.38
N20002466,0.40
N20002467,0.42
N20002468,0.37
N20002469,0.34
N20002470,0.36
N20002471,0.36
N20002472,0.42
N20002473,0.35
N20002474,0.39
N20002475,0.44
N20002476,0.30
N20002477,0.44
N20002478,0.30
N20002479,0.21
N20002480,0.26
N20002481,0.48
N20002482,0.21
N20002483,0.34
N20002484,0.38
N20002485,0.16
N20002486,0.34
N20002487,0.23
N20002488,0.31
N20002489,0.42
N20002490,0.47
N20002491,0.44
N20002492,0.60
N20002493,0.65
N20002494,0.27
N20002495,0.23
N20002496,0.35
N20002497,0.28
N20002498,0.69
N20002499,0.50
N20002500,0.83
N20002501,0.83
N20002502,0.76
N20002503,0.72
N20002504,0.65
N20002505,0.73
N20002506,0.71
N20002507,0.80
N20002508,0.61
N20002509,0.69
N20002510,0.78
N20002511,0.76
N20002512,0.68
N20002513,0.71
N20002514,0.68
N20002515,0.69
N20002516,0.67
N20002517,0.71
N20002518,0.68
N20002519,0.76
N20002520,0.76
N20002521,0.72
N20002522,0.77
N20002523,0.74
N20002524,0.70
N20002525,0.76
N20002526,0.63
N20002527,0.73
N20002528,0.59
N20002529,0.77
N20002530,0.81
N20002531,0.73
N20002532,0.72
N20002533,0.77
N20002534,0.70
N20002535,0.79
N20002536,0.78
N20002537,0.83
N20002538,0.71
N20002539,0.70
N20002540,0.81
N20002541,0.78
N20002542,0.80
N20002543,0.77
N20002544,0.78
N20002545,0.87
N20002546,0.86
N20002547,0.73
N20002548,0.72
N20002549,0.84
N20002550,0.79
N20002551,0.85
N20002552,0.56
N20002553,0.53
N20002554,0.82
N20002555,0.86
N20002556,0.78
N20002557,0.92
N20002558,0.84
N20002559,0.80
N20002560,0.48
N20002561,0.26
N20002562,0.39
N20002563,0.84
N20002564,0.84
N20002565,0.82
N20002566,0.79
N20002567,0.83
N20002568,0.78
N20002569,0.82
N20002570,0.75
N20002571,0.92
N20002572,0.88
N20002573,0.88
N20002574,0.88
N20002575,0.89
N20002576,0.88
N20002577,0.40
N20002578,0.80
N20002579,0.84
N20002580,0.76
N20002581,0.65
N20002582,0.82
N20002583,0.29
N20002584,0.67
N20002585,0.09
N20002586,0.70
N20002587,0.26
N20002588,0.24
N20002589,0.19
N20002590,0.23
N20002591,0.55
N20002592,0.36
N20002593,0.24
N20002594,0.33
N20002595,0.59
N20002596,0.34
N20002597,0.50
N20002598,0.18
N20002599,0.64
N20002600,0.77
N20002601,0.40
N20002602,0.26
N20002603,0.69
N20002604,0.27
N20002605,0.38
N20002606,0.57
N20002607,0.73
N20002608,0.40
N20002609,0.73
N20002610,0.64
N20002611,0.45
N20002612,0.29
N20002613,0.52
N20002614,0.50
N20002615,0.57
N20002616,0.46
N20002617,0.52
N20002618,0.75
N20002619,0.73
N20002620,0.61
N20002621,0.79
N20002622,0.74
N20002623,0.78
N20002624,0.64
N20002625,0.75
N20002626,0.82
N20002627,0.76
N20002628,0.63
N20002629,0.79
N20002630,0.70
N20002631,0.80
N20002632,0.78
N20002633,0.71
N20002634,0.65
N20002635,0.79
N20002636,0.76
N20002637,0.78
N20002638,0.69
N20002639,0.54
N20002640,0.06
N20002641,0.07
N20002642,0.33
N20002643,0.45
N20002644,0.88
N20002645,0.86
N20002646,0.55
N20002647,0.83
N20002648,0.86
N20002649,0.67
N20002650,0.81
N20002651,0.84
N20002652,0.80
N20002653,0.86
N20002654,0.88
N20002655,0.43
N20002656,0.89
N20002657,0.85
N20002658,0.65
N20002659,0.77
N20002660,0.91
N20002661,0.80
N20002662,0.84
N20002663,0.70
N20002664,0.73
N20002665,0.78
N20002666,0.71
N20002667,0.73
N20002668,0.80
N20002669,0.74
N20002670,0.83
N20002671,0.70
N20002672,0.76
N20002673,0.73
N20002674,0.74
N20002675,0.88
N20002676,0.80
N20002677,0.86
N20002678,0.81
N20002679,0.87
N20002680,0.81
N20002681,0.80
N20002682,0.80
N20002683,0.81
N20002684,0.85
N20002685,0.35
N20002686,0.17
N20002687,0.09
N20002688,0.12
N20002689,0.50
N20002690,0.42
N20002691,0.45
N20002692,0.60
N20002693,0.71
N20002694,0.60
N20002695,0.66
N20002696,0.57
N20002697,0.60
N20002698,0.42
N20002699,0.66
N20002700,0.64
N20002701,0.51
N20002702,0.66
N20002703,0.63
N20002704,0.71
N20002705,0.62
N20002706,0.60
N20002707,0.67
N20002708,0.67
N20002709,0.77
N20002710,0.65
N20002711,0.61
N20002712,0.66
N20002713,0.70
N20002714,0.70
N20002715,0.59
N20002716,0.58
N20002717,0.49
N20002718,0.51
N20002719,0.66
N20002720,0.45
N20002721,0.46
N20002722,0.72
N20002723,0.63
N20002724,0.56
N20002725,0.69
N20002726,0.63
N20002727,0.51
N20002728,0.61
N20002729,0.70
N20002730,0.67
N20002731,0.62
N20002732,0.68
N20002733,0.55
N20002734,0.68
N20002735,0.64
N20002736,0.76
N20002737,0.58
N20002738,0.56
N20002739,0.78
N20002740,0.74
N20002741,0.84
N20002742,0.81
N20002743,0.80
N20002744,0.81
N20002745,0.79
N20002746,0.87
N20002747,0.82
N20002748,0.70
N20002749,0.78
N20002750,0.80
N20002751,0.81
N20002752,0.79
N20002753,0.81
N20002754,0.57
N20002755,0.76
N20002756,0.63
N20002757,0.63
N20002758,0.74
N20002759,0.65
N20002760,0.58
N20002761,0.67
N20002762,0.64
N20002763,0.82
N20002764,0.76
N20002765,0.74
N20002766,0.80
N20002767,0.72
N20002768,0.81
N20002769,0.76
N20002770,0.74
N20002771,0.69
N20002772,0.70
N20002773,0.79
N20002774,0.74
N20002775,0.81
N20002776,0.73
N20002777,0.82
N20002778,0.75
N20002779,0.70
N20002780,0.74
N20002781,0.71
N20002782,0.77
N20002783,0.82
N20002784,0.68
N20002785,0.79
N20002786,0.76
N20002787,0.65
N20002788,0.78
N20002789,0.73
N20002790,0.63
N20002791,0.70
N20002792,0.73
N20002793,0.80
N20002794,0.67
N20002795,0.77
N20002796,0.58
N20002797,0.58
N20002798,0.55
N20002799,0.60
N20002800,0.71
N20002801,0.78
N20002802,0.87
N20002803,0.76
N20002804,0.82
N20002805,0.80
N20002806,0.74
N20002807,0.86
N20002808,0.84
N20002809,0.83
N20002810,0.78
N20002811,0.77
N20002812,0.77
N20002813,0.72
N20002814,0.76
N20002815,0.67
N20002816,0.69
N20002817,0.69
N20002818,0.67
N20002819,0.71
N20002820,0.73
N20002821,0.69
N20002822,0.71
N20002823,0.73
N20002824,0.61
N20002825,0.74
N20002826,0.77
N20002827,0.70
N20002828,0.64
N20002829,0.70
N20002830,0.65
N20002831,0.67
N20002832,0.70
N20002833,0.67
N20002834,0.75
N20002835,0.63
N20002836,0.61
N20002837,0.29
N20002838,0.35
N20002839,0.26
N20002840,0.51
N20002841,0.04
N20002842,0.03
N20002843,0.35
N20002844,0.48
N20002845,0.09
N20002846,0.82
N20002847,0.01
N20002848,0.18
N20002849,0.15
N20002850,0.08
N20002851,0.13
N20002852,0.02
N20002853,0.73
N20002854,0.05
N20002855,0.42
N20002856,0.07
N20002857,0.59
N20002858,0.13
N20002859,0.03
N20002860,0.10
N20002861,0.05
N20002862,0.05
N20002863,0.08
N20002864,0.01
N20002865,0.07
N20002866,0.08
N20002867,0.83
N20002868,0.23
N20002869,0.07
N20002870,0.09
N20002871,0.39
N20002872,0.69
N20002873,0.02
N20002874,0.03
N20002875,0.07
N20002876,0.65
N20002877,0.36
N20002878,0.03
N20002879,0.49
N20002880,0.37
N20002881,0.60
N20002882,0.16
N20002883,0.46
N20002884,0.39
N20002885,0.04
N20002886,0.49
N20002887,0.04
N20002888,0.06
N20002889,0.61
N20002890,0.09
N20002891,0.43
N20002892,0.16
N20002893,0.20
N20002894,0.19
N20002895,0.19
N20002896,0.31
N20002897,0.25
N20002898,0.28
N20002899,0.42
N20002900,0.22
N20002901,0.28
N20002902,0.36
N20002903,0.25
N20002904,0.27
N20002905,0.38
N20002906,0.12
N20002907,0.57
N20002908,0.28
N20002909,0.36
N20002910,0.34
N20002911,0.32
N20002912,0.40
N20002913,0.76
N20002914,0.57
N20002915,0.60
N20002916,0.14
N20002917,0.35
N20002918,0.27
N20002919,0.39
N20002920,0.59
N20002921,0.58
N20002922,0.46
N20002923,0.41
N20002924,0.48
N20002925,0.36
N20002926,0.69
N20002927,0.15
N20002928,0.52
N20002929,0.02
N20002930,0.17
N20002931,0.67
N20002932,0.64
N20002933,0.15
N20002934,0.72
N20002935,0.82
N20002936,0.01
N20002937,0.55
N20002938,0.81
N20002939,0.72
N20002940,0.43
N20002941,0.33
N20002942,0.52
N20002943,0.30
N20002944,0.70
N20002945,0.12
N20002946,0.18
N20002947,0.39
N20002948,0.06
N20002949,0.22
N20002950,0.22
N20002951,0.47
N20002952,0.70
N20002953,0.27
N20002954,0.24
N20002955,0.18
N20002956,0.05
N20002957,0.13
N20002958,0.18
N20002959,0.23
N20002960,0.66
N20002961,0.15
N20002962,0.23
N20002963,0.23
N20002964,0.32
N20002965,0.22
N20002966,0.14
N20002967,0.67
N20002968,0.75
N20002969,0.67
N20002970,0.08
N20002971,0.36
N20002972,0.05
N20002973,0.23
N20002974,0.33
N20002975,0.02
N20002976,0.02
N20002977,0.01
N20002978,0.01
N20002979,0.79
N20002980,0.06
N20002981,0.81
N20002982,0.12
N20002983,0.21
N20002984,0.24
N20002985,0.85
N20002986,0.32
N20002987,0.50
N20002988,0.30
N20002989,0.12
N20002990,0.14
N20002991,0.03
N20002992,0.38
N20002993,0.09
N20002994,0.67
N20002995,0.04
N20002996,0.43
N20002997,0.05
N20002998,0.10
N20002999,0.03
N20003000,0.01
N20003001,0.03
N20003002,0.14
N20003003,0.08
N20003004,0.59
N20003005,0.05
N20003006,0.05
N20003007,0.13
N20003008,0.08
N20003009,0.12
N20003010,0.06
N20003011,0.06
N20003012,0.02
N20003013,0.08
N20003014,0.06
N20003015,0.02
N20003016,0.00
N20003017,0.01
N20003018,0.19
N20003019,0.37
N20003020,0.06
N20003021,0.18
N20003022,0.07
N20003023,0.06
N20003024,0.47
N20003025,0.10
N20003026,0.08
N20003027,0.47
N20003028,0.09
N20003029,0.11
N20003030,0.09
N20003031,0.20
N20003032,0.05
N20003033,0.02
N20003034,0.18
N20003035,0.03
N20003036,0.45
N20003037,0.09
N20003038,0.19
N20003039,0.33
N20003040,0.45
N20003041,0.04
N20003042,0.09
N20003043,0.37
N20003044,0.36
N20003045,0.42
N20003046,0.32
N20003047,0.29
N20003048,0.73
N20003049,0.46
N20003050,0.39
N20003051,0.40
N20003052,0.82
N20003053,0.93
N20003054,0.50
N20003055,0.62
N20003056,0.56
N20003057,0.47
N20003058,0.18
N20003059,0.20
N20003060,0.21
N20003061,0.10
N20003062,0.27
N20003063,0.04
N20003064,0.12
N20003065,0.34
N20003066,0.43
N20003067,0.16
N20003068,0.09
N20003069,0.44
N20003070,0.51
N20003071,0.41
N20003072,0.47
N20003073,0.22
N20003074,0.48
N20003075,0.20
N20003076,0.14
N20003077,0.41
N20003078,0.18
N20003079,0.28
N20003080,0.58
N20003081,0.47
N20003082,0.26
N20003083,0.42
N20003084,0.67
N20003085,0.48
N20003086,0.38
N20003087,0.38
N20003088,0.42
N20003089,0.36
N20003090,0.43
N20003091,0.45
N20003092,0.50
N20003093,0.51
N20003094,0.81
N20003095,0.70
N20003096,0.12
N20003097,0.71
N20003098,0.43
N20003099,0.69
N20003100,0.49
N20003101,0.39
N20003102,0.60
N20003103,0.40
N20003104,0.37
N20003105,0.58
N20003106,0.08
N20003107,0.18
N20003108,0.35
N20003109,0.28
