,Date,Date_Fraction,P,D,E,CPI,Rate GS10,Price_real,Dividend_real,Earnings_real,PE_ratio,Date_iso
152,1883.09,1883.708333,5.53,0.3275,0.4075,9.229089256,3.623333333,194.5409899,11.52118882,14.33552503,13.57055215,1883-09-01
153,1883.1,1883.791667,5.38,0.3283,0.405,9.229089256,3.6225,189.2641096,11.54933219,14.24757702,13.28395062,1883-01-01
154,1883.11,1883.875,5.46,0.3292,0.4025,9.134004959,3.621666667,194.0779678,11.70155073,14.30702967,13.56521739,1883-11-01
155,1883.12,1883.958333,5.34,0.33,0.4,9.229089256,3.620833333,187.8569414,11.60913683,14.07168101,13.35,1883-12-01
156,1884.01,1884.041667,5.18,0.3283,0.3925,9.229089256,3.62,182.228269,11.54933219,13.80783699,13.19745223,1884-01-01
157,1884.02,1884.125,5.32,0.3267,0.385,9.229089256,3.611666667,187.1533574,11.49304546,13.54399297,13.81818182,1884-02-01
158,1884.03,1884.208333,5.3,0.325,0.3775,9.229089256,3.603333333,186.4497733,11.43324082,13.28014895,14.0397351,1884-03-01
159,1884.04,1884.291667,5.06,0.3233,0.37,9.038839669,3.595,181.7534529,11.61282437,13.29027225,13.67567568,1884-04-01
160,1884.05,1884.375,4.65,0.3217,0.3625,8.848509091,3.586666667,170.6191161,11.80390745,13.3009526,12.82758621,1884-05-01
161,1884.06,1884.458333,4.46,0.32,0.355,8.848509091,3.578333333,163.6475823,11.74153057,13.02576048,12.56338028,1884-06-01
162,1884.07,1884.541667,4.46,0.3183,0.3475,8.753424793,3.57,165.4252083,11.80601879,12.88907173,12.83453237,1884-07-01
163,1884.08,1884.625,4.74,0.3167,0.34,8.753424793,3.561666667,175.8106474,11.74667343,12.61089032,13.94117647,1884-08-01
164,1884.09,1884.708333,4.59,0.315,0.3325,8.658259504,3.553333333,172.1182507,11.81203681,12.46826108,13.80451128,1884-09-01
165,1884.1,1884.791667,4.44,0.3133,0.325,8.563094215,3.545,168.3437837,11.87885302,12.32246164,13.66153846,1884-01-01
166,1884.11,1884.875,4.35,0.3117,0.3175,8.372844628,3.536666667,168.6790168,12.08672403,12.31162939,13.7007874,1884-11-01
167,1884.12,1884.958333,4.34,0.31,0.31,8.277679339,3.528333333,170.2260286,12.15900204,12.15900204,14,1884-12-01
168,1885.01,1885.041667,4.24,0.3042,0.3067,8.277679339,3.52,166.3037699,11.93151104,12.02956751,13.82458428,1885-01-01
169,1885.02,1885.125,4.37,0.2983,0.3033,8.372844628,3.5075,169.4545525,11.56711511,11.76099904,14.40817672,1885-02-01
170,1885.03,1885.208333,4.38,0.2925,0.3,8.18251405,3.495,173.7929628,11.6060369,11.90362759,14.6,1885-03-01
171,1885.04,1885.291667,4.37,0.2867,0.2967,8.277679339,3.4825,171.4027062,11.24511576,11.63734163,14.72868217,1885-04-01
172,1885.05,1885.375,4.32,0.2808,0.2933,8.087381157,3.47,173.4285812,11.27285778,11.77467659,14.72894647,1885-05-01
173,1885.06,1885.458333,4.3,0.275,0.29,7.897091074,3.4575,176.7852981,11.30603651,11.92272941,14.82758621,1885-06-01
174,1885.07,1885.541667,4.46,0.2692,0.2867,7.992232066,3.445,181.1805648,10.9358314,11.64674169,15.55633066,1885-07-01
175,1885.08,1885.625,4.71,0.2633,0.2833,7.992232066,3.4325,191.3364261,10.69615308,11.50862198,16.62548535,1885-08-01
176,1885.09,1885.708333,4.65,0.2575,0.28,7.897091074,3.42,191.1747992,10.58656146,11.51160081,16.60714286,1885-09-01
177,1885.1,1885.791667,4.92,0.2517,0.2767,7.897091074,3.4075,202.2752714,10.34810687,11.37592837,17.78099024,1885-01-01
178,1885.11,1885.875,5.24,0.2458,0.2733,7.992232066,3.395,212.866852,9.985242788,11.10238753,19.17306989,1885-11-01
179,1885.12,1885.958333,5.2,0.24,0.27,8.18251405,3.3825,206.3295449,9.522902072,10.71326483,19.25925926,1885-12-01
180,1886.01,1886.041667,5.2,0.2383,0.275,7.992232066,3.37,211.2419142,9.680566951,11.17144738,18.90909091,1886-01-01
181,1886.02,1886.125,5.3,0.2367,0.28,7.992232066,3.3825,215.3042587,9.615569439,11.37456461,18.92857143,1886-02-01
